Event ID,Campaign,Member #,Event Type,Timestamp,Link Clicked,Device
ee_00001,camp_001,mbr_001,sent,2025-12-23 00:00:00,,
ee_00002,camp_001,mbr_001,opened,2025-12-23 00:00:00,,mobile
ee_00003,camp_002,mbr_001,sent,2025-12-25 00:00:00,,
ee_00004,camp_003,mbr_001,sent,2026-01-02 00:00:00,,
ee_00005,camp_004,mbr_001,sent,2025-12-31 00:00:00,,
ee_00006,camp_004,mbr_001,opened,2026-01-02 00:00:00,,desktop
ee_00007,camp_005,mbr_001,sent,2026-01-08 00:00:00,,
ee_00008,camp_005,mbr_001,opened,2026-01-09 00:00:00,,tablet
ee_00009,camp_005,mbr_001,clicked,2026-01-09 00:00:00,https://swoopgolf.com/promo,tablet
ee_00010,camp_006,mbr_001,sent,2026-01-05 00:00:00,,
ee_00011,camp_007,mbr_001,sent,2026-01-13 00:00:00,,
ee_00012,camp_007,mbr_001,opened,2026-01-15 00:00:00,,mobile
ee_00013,camp_008,mbr_001,sent,2026-01-16 00:00:00,,
ee_00014,camp_009,mbr_001,sent,2026-01-23 00:00:00,,
ee_00015,camp_010,mbr_001,sent,2026-01-21 00:00:00,,
ee_00016,camp_010,mbr_001,opened,2026-01-23 00:00:00,,desktop
ee_00017,camp_011,mbr_001,sent,2026-01-29 00:00:00,,
ee_00018,camp_011,mbr_001,opened,2026-01-29 00:00:00,,tablet
ee_00019,camp_011,mbr_001,clicked,2026-01-29 00:00:00,https://swoopgolf.com/promo,desktop
ee_00020,camp_012,mbr_001,sent,2026-01-26 00:00:00,,
ee_00021,camp_013,mbr_001,sent,2026-02-03 00:00:00,,
ee_00022,camp_013,mbr_001,opened,2026-02-05 00:00:00,,mobile
ee_00023,camp_014,mbr_001,sent,2026-02-06 00:00:00,,
ee_00024,camp_014,mbr_001,opened,2026-02-07 00:00:00,,tablet
ee_00025,camp_014,mbr_001,clicked,2026-02-07 00:00:00,https://swoopgolf.com/promo,desktop
ee_00026,camp_015,mbr_001,sent,2026-02-09 00:00:00,,
ee_00027,camp_016,mbr_001,sent,2026-02-11 00:00:00,,
ee_00028,camp_016,mbr_001,opened,2026-02-11 00:00:00,,mobile
ee_00029,camp_017,mbr_001,sent,2026-02-19 00:00:00,,
ee_00030,camp_017,mbr_001,opened,2026-02-19 00:00:00,,tablet
ee_00031,camp_017,mbr_001,clicked,2026-02-19 00:00:00,https://swoopgolf.com/promo,desktop
ee_00032,camp_018,mbr_001,sent,2026-02-17 00:00:00,,
ee_00033,camp_019,mbr_001,sent,2026-02-24 00:00:00,,
ee_00034,camp_019,mbr_001,opened,2026-02-26 00:00:00,,mobile
ee_00035,camp_020,mbr_001,sent,2026-02-27 00:00:00,,
ee_00036,camp_020,mbr_001,opened,2026-02-28 00:00:00,,tablet
ee_00037,camp_001,mbr_002,sent,2025-12-23 00:00:00,,
ee_00038,camp_002,mbr_002,sent,2025-12-24 00:00:00,,
ee_00039,camp_002,mbr_002,opened,2025-12-26 00:00:00,,tablet
ee_00040,camp_003,mbr_002,sent,2025-12-29 00:00:00,,
ee_00041,camp_003,mbr_002,opened,2025-12-30 00:00:00,,tablet
ee_00042,camp_003,mbr_002,clicked,2025-12-30 00:00:00,https://swoopgolf.com/promo,mobile
ee_00043,camp_004,mbr_002,sent,2025-12-29 00:00:00,,
ee_00044,camp_004,mbr_002,opened,2025-12-31 00:00:00,,mobile
ee_00045,camp_005,mbr_002,sent,2026-01-08 00:00:00,,
ee_00046,camp_005,mbr_002,opened,2026-01-08 00:00:00,,mobile
ee_00047,camp_006,mbr_002,sent,2026-01-09 00:00:00,,
ee_00048,camp_007,mbr_002,sent,2026-01-13 00:00:00,,
ee_00049,camp_008,mbr_002,sent,2026-01-14 00:00:00,,
ee_00050,camp_008,mbr_002,opened,2026-01-14 00:00:00,,tablet
ee_00051,camp_009,mbr_002,sent,2026-01-19 00:00:00,,
ee_00052,camp_009,mbr_002,opened,2026-01-20 00:00:00,,tablet
ee_00053,camp_009,mbr_002,clicked,2026-01-20 00:00:00,https://swoopgolf.com/promo,desktop
ee_00054,camp_010,mbr_002,sent,2026-01-20 00:00:00,,
ee_00055,camp_010,mbr_002,opened,2026-01-22 00:00:00,,desktop
ee_00056,camp_011,mbr_002,sent,2026-01-29 00:00:00,,
ee_00057,camp_011,mbr_002,opened,2026-01-29 00:00:00,,mobile
